id,category,prompt,practice
1,Body,Notice where your body feels alive today—what is it telling you?,Place your hand there and breathe deeply 5 times.
2,Body,What small movement could release tension right now?,Stretch or shake your body gently for 1 minute.
3,Body,How has your relationship with nourishment shifted since ceremony?,Take one mindful sip of water or tea before writing.
4,Body,Where do you feel gratitude in your body at this moment?,Touch that area and whisper “thank you.”
5,Body,What signals of healing does your body show you?,Close your eyes and notice three subtle sensations.
6,Body,How can you honor your body as the first doctor?,"Write your answer, then give yourself a gentle self-massage."
7,Body,What new rhythms or cycles is your body asking you to follow?,Place your hand on your belly and follow your breath for 1 minute.
8,Body,Write about a time your body surprised you with strength or resilience.,"Stand tall, stretch your arms wide, and breathe in that memory."
9,Body,What part of your body most needs your attention today?,"Breathe into that area, visualizing warmth flowing there."
10,Body,How can you bring breath into the places that feel tight or closed?,"Inhale through the nose, exhale with a sigh 3 times."
11,Body,In what ways has your sense of embodiment changed after medicine work?,"Walk slowly across the room, noticing each step."
12,Body,What gesture of kindness can you offer your body today?,"Drink water slowly, savoring each sip as medicine."
13,Emotion,"Which emotion feels most present right now, and what does it want you to know?",Name it aloud before journaling.
14,Emotion,How has your understanding of fear changed after ceremony?,"Take one slow breath in, whisper “fear,” exhale with “release.”"
15,Emotion,What emotion feels unfinished and asks to be expressed?,Scribble it on paper quickly before writing words.
16,Emotion,Where have you discovered unexpected joy?,Smile intentionally for 10 seconds before you write.
17,Emotion,How does sadness flow through you when you let it move freely?,Let out a gentle sigh or hum.
18,Emotion,What emotion have you learned to welcome rather than resist?,"Open your palms face up, inviting it in."
19,Emotion,Write about an emotion that connects you to your younger self.,"Place your hand on your heart and say, “I see you.”"
20,Emotion,Which feeling is teaching you patience today?,Count 5 slow breaths before journaling.
21,Emotion,What emotion would you like to give more space for in your life?,Expand your chest as you inhale deeply.
22,Emotion,How does love express itself differently in you now?,Write one person’s name and send them silent blessings.
23,Emotion,What emotion carries hidden wisdom for you?,Close your eyes and imagine that emotion as a teacher.
24,Emotion,How do you practice compassion toward your difficult feelings?,Hold your own hand gently while journaling.
25,Social,"Who has supported your journey, and how can you thank them?",Write a short message of gratitude after journaling.
26,Social,What relationships feel more authentic after your experience?,Smile as you picture their faces.
27,Social,How do you wish to show up differently with others?,"Stand tall, shoulders back, and breathe."
28,Social,Where do you sense more courage to speak your truth?,Speak one sentence out loud to the empty room.
29,Social,What community values are most important to you now?,Write 3 values and circle the one that shines most.
30,Social,Write about a recent conversation that felt like medicine.,Close your eyes and replay one sentence from it.
